YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
197501	61.52	73.14	66.74	58.81	41.63	54.32	62.7	45.07	77.93	66.31	74.18	59.71	57.35	58.24	68.02	66.38	66.16	61.9	64.14	51.72	68.02	61.71	54.6	60.08	55.07	65.7	74.66	55.31	66.12	68.54	63.68	70.07	63.91	56.42	29.36	78.35	65.01	52.12	50.79	70.46	59.71	61.05	74.76	69.33	67.41	55.38	55.11	70.18	59.71	77.42	46.02	61.81	48.7	49.37	59.71
197502	63.05	72.02	60.4	61.33	42.76	54.22	62.28	47.12	89.52	83.97	71.8	61.12	55.41	64.28	64.2	62.77	61.01	62.24	65.99	55.7	66.04	62.43	89.2	62.32	55.06	73.06	71.08	56.92	67.06	61.26	63.28	75.1	59.9	58.75	46.79	75.67	64.66	53.31	51.23	69.63	61.12	65.8	69.93	71.71	67.83	58.56	57.25	66.57	61.12	76.35	47.13	62.82	67.77	48.36	61.12
197503	67.74	74.26	65.52	59.02	44.25	54.5	61.69	47.41	116.28	67.32	74.51	61.24	54.55	63.52	63.94	63.99	63.38	63.7	67.11	53	67.38	65.07	67.74	63.42	57.81	65.38	72.25	58.93	68.58	66.13	61.62	62.69	60.26	59.43	51.42	77.63	64.16	52.13	54.06	73.91	61.24	65.62	71.84	63.74	66.64	56.52	55.17	67.49	61.24	66.99	49.31	64.19	67.52	50.26	61.24
197504	66.14	70.69	62.87	55.03	45.85	55.17	62.11	54.06	75.58	68.66	73.67	62.27	57.44	65.78	60.99	66.48	62.91	64.67	68.96	55.23	70.57	66.51	71.72	62.15	59.82	65.11	72.38	57.52	70.79	62.72	68.04	57.18	62.72	55.82	55.32	80.05	65.65	53.33	52.89	71.64	62.27	67.15	69.22	61.69	70.43	59.68	60.58	67.73	62.27	72.39	47.86	68.96	68.84	53.45	62.27
197601	69.71	76.92	66.65	58.03	47.75	54.73	65.15	51.51	80.77	68.48	71.37	62.82	54.24	67.46	65.35	67.53	61.85	66.93	69.67	58.61	68.17	66.92	57.82	62.98	62.21	67.2	73.27	59.93	69.61	72.51	67.27	63.94	62.3	59.78	55.52	73.47	66.24	54.65	56.99	72.73	62.82	65.79	69.75	63.15	69.42	59.15	61.51	69.19	62.82	72.39	50.22	65.6	63.43	53.97	62.82
197602	71.4	76.55	68.67	62.83	50.24	59.96	64.05	52.58	86.72	76.56	73.25	65.48	56.23	70.15	68.5	70.27	65.43	67.72	68.86	58.76	69.15	69.56	70.47	64.07	62.58	77.32	75.19	65.6	69.85	72.5	67.7	58.6	63.93	62.08	59.26	74.59	68.57	60.5	57.02	76.59	65.48	68.22	78.23	66.06	68.19	63.87	61.5	68.66	65.48	57.49	53.42	65.46	68.48	55.71	65.48
197603	73.44	77.29	71.61	60.88	53.54	59.84	67.2	58.26	80.84	69.46	79.34	66.54	55.53	73.72	68	73.57	65.27	68.79	69.24	58.38	69.37	70.42	84.45	64.29	62.99	69.78	71.86	63.61	70.43	71.83	67.61	69.53	66.11	63.78	59.55	75.6	71	59.4	59.95	77.16	66.54	71.47	75.74	71.38	70.61	63.15	64.86	70.48	66.54	81.49	56.21	67.49	69.59	58.5	66.54
197604	73.94	79.75	72.46	60.94	55.48	61.86	68.17	57.75	84.76	70.96	78.4	67.22	55.67	71.45	68.86	73.2	68.28	70.6	69.87	61.61	70.39	71.83	69.14	65.67	63.97	68.98	80.21	64.87	70.76	72.52	70.28	66.53	62.12	65.61	59.81	74.18	72.18	62.13	63.46	75.37	67.22	70.19	75.55	66	71.13	63.27	64.4	71.91	67.22	79.88	57.62	68.55	64.98	62.15	67.22
197701	78.35	81.65	73.57	63.04	57.99	64.57	64.02	59.76	80.63	71.6	76.74	69.41	56.11	75.81	73.42	80.29	70.52	72.83	70.27	62.78	72.73	72.05	78.11	67.14	66.46	70.93	74.8	66.47	74.91	81.53	72.2	57.3	65.16	70.22	61.8	77.73	73.06	63.99	67.12	74.28	69.41	69.66	74.97	62.34	75.28	66.45	69.01	73.08	69.41	119.14	59.64	72.75	69.67	63.39	69.41
197702	75.73	83.68	75.35	63.36	62.98	65.58	68.36	63.49	77.95	79.6	76.31	72.64	58.82	78.1	72.95	83.34	71.17	76.28	73.46	64.96	69.74	73.33	81.52	68.02	68.58	81.12	77.55	71.55	73.94	86.24	76.05	70.91	65.66	70.08	64.3	83.18	75.01	63.72	69.14	80.24	72.64	72.18	79.24	70.37	77.01	71.22	70.76	74.95	72.64	81.75	62.69	75.99	83.74	64.65	72.64
197703	77.87	88.29	78.8	66.01	67.93	69.16	71.78	66.54	81.37	72.73	78.79	74.39	61.11	80.18	77.32	83.21	73.61	77.67	77.05	62.67	73.87	76.51	81.74	71.18	73.1	77.73	77.86	76.09	76.76	79.65	78.64	83.32	67.38	73.33	69	82.38	78.69	67.86	73.87	80.75	74.39	75.4	81.05	78.36	77.32	69.48	75.09	77.56	74.39	76.38	67.33	78.06	73.2	67.03	74.39
197704	79.84	89.37	81.66	69.58	70.61	73.18	72.63	71.57	84.05	75.3	78.5	77.19	62.29	83.56	83.6	88.56	78.19	80.39	78.73	68.55	73.96	77.21	87.72	72.67	74.94	80.08	85.92	78.77	81.29	77.45	79.89	72.87	69.34	75.57	72.9	84.66	80.91	69.51	78.18	83.48	77.19	77.36	83.42	81.68	78.72	73.36	75.2	79.17	77.19	76.2	70.8	80.8	85.34	71.38	77.19
197801	76.44	88.54	81.55	70.79	73.2	76.2	73.54	68.26	83.29	78.96	84.42	79.57	64.76	85.84	88.33	90.95	81.04	82.78	81.59	73.58	78.43	81.75	83.3	75.37	76.58	83.11	86.28	89.17	82.88	87.71	78.87	81.32	71.4	76.77	75.29	83.26	82.98	71.98	79.92	83.69	79.57	80.13	81.89	77.48	84.44	76.32	81.74	80.37	79.57	90.74	74.32	84.42	86.11	73.34	79.57
